granularity,rule,n_units,roc_auc,precision,recall,f1,brier,confusion_matrix_tn_fp_fn_tp
slice (baseline),none -- every slice scored independently,90693,0.9919717551382687,0.988740971533777,0.9686168958197483,0.9785754834007303,0.028165828928887637,17821/795/2262/69815
volume (patient),mean,361,0.9973309608540926,0.992831541218638,0.9857651245551602,0.9892857142857143,0.01419392683404521,78/2/4/277
volume (patient),median,361,0.9974644128113879,0.9928057553956835,0.9822064056939501,0.9874776386404294,0.014602571093123306,78/2/5/276
volume (patient),max,361,0.9912588967971531,0.9271523178807947,0.99644128113879,0.9605488850771869,0.05765899510700441,58/22/1/280
volume (patient),top-5%-slice-mean,361,0.9973754448398576,0.9427609427609428,0.99644128113879,0.9688581314878892,0.04493741484567773,63/17/1/280
volume (patient),top-10-slice-mean,361,0.9975978647686833,0.9395973154362416,0.99644128113879,0.9671848013816926,0.04584637930505095,62/18/1/280
volume (patient),90th-percentile,361,0.9972864768683274,0.9653979238754326,0.9928825622775801,0.9789473684210527,0.030576698845804506,70/10/2/279
