border_fraction,attended_pixel_count,overlap_precision,overlap_recall,chance_precision,enrichment,fold,dataset,patient_id,slice_index
0.28603515625,20480,0.0,0.0,0.0004296875,0.0,0,MSD,pancreas_346,90
0.40771484375,20480,,,,,0,MSD,pancreas_105,400
0.314306640625,20480,0.0,0.0,0.008115234375,0.0,0,MSD,pancreas_098,199
0.300048828125,20480,,,,,0,MSD,pancreas_270,166
0.218505859375,20480,,,,,0,MSD,pancreas_323,49
0.404248046875,20480,,,,,0,MSD,pancreas_321,59
0.19228515625,20480,,,,,0,MSD,pancreas_243,198
0.549609375,20480,,,,,0,MSD,pancreas_399,27
0.4944604421884914,20489,,,,,0,MSD,pancreas_298,30
0.264404296875,20480,,,,,0,MSD,pancreas_392,33
0.5022209205837849,20487,0.0,0.0,0.00564453125,0.0,0,MSD,pancreas_399,166
0.271875,20480,,,,,0,MSD,pancreas_392,197
0.317138671875,20480,0.0,0.0,0.001943359375,0.0,0,MSD,pancreas_367,72
0.329052734375,20480,,,,,0,MSD,pancreas_105,385
0.13671875,20480,0.0,0.0,0.00736328125,0.0,0,MSD,pancreas_066,312
0.361767578125,20480,0.0,0.0,0.00626953125,0.0,0,MSD,pancreas_209,66
0.2125,20480,,,,,0,MSD,pancreas_066,155
0.198779296875,20480,,,,,0,MSD,pancreas_304,215
0.55859375,20480,,,,,0,MSD,pancreas_399,272
0.417431640625,20480,,,,,0,MSD,pancreas_029,193
0.207080078125,20480,0.0,0.0,0.00115234375,0.0,0,MSD,pancreas_386,122
0.47076337368215543,20488,0.0,0.0,0.003798828125,0.0,0,MSD,pancreas_298,135
0.11826171875,20480,,,,,0,MSD,pancreas_052,27
0.1650390625,20480,,,,,0,MSD,pancreas_024,181
0.36408904510837725,20484,,,,,0,MSD,pancreas_010,23
0.160888671875,20480,,,,,0,MSD,pancreas_114,39
0.260400390625,20480,,,,,0,MSD,pancreas_098,289
0.528955078125,20480,,,,,0,MSD,pancreas_249,290
0.324609375,20480,0.0,0.0,0.01189453125,0.0,0,MSD,pancreas_367,111
0.13095703125,20480,0.0,0.0,0.01142578125,0.0,0,MSD,pancreas_083,82
0.334423828125,20480,,,,,0,MSD,pancreas_277,52
0.086572265625,20480,,,,,0,MSD,pancreas_180,48
0.387744140625,20480,,,,,0,MSD,pancreas_277,181
0.22578125,20480,,,,,0,MSD,pancreas_309,45
0.039892578125,20480,,,,,0,MSD,pancreas_351,64
0.546826171875,20480,,,,,0,MSD,pancreas_404,38
0.214599609375,20480,,,,,0,MSD,pancreas_148,133
